title,name,phone,email
计算机辅助设计与图形学国家重点实验室,沈琦,0571-88206950,jszy2@zju.edu.cn
流体传动及控制国家重点实验室,刘昊,0571-88206950,jszy2@zju.edu.cn
工业控制技术国家重点实验室,田颖颖,0571-88206950,jszy2@zju.edu.cn
现代光学仪器国家重点实验室,赵瑛,0571-88206950,jszy2@zju.edu.cn
能源清洁利用国家重点实验室,邱坤赞,0571-88206950,jszy2@zju.edu.cn
传染病诊治国家重点实验室,徐威,0571-88206950,jszy2@zju.edu.cn
化学工程联合国家重点实验室,浦群,0571-88206950,jszy2@zju.edu.cn
植物生理学与生物化学国家重点实验室,李燕,0571-88206950,jszy2@zju.edu.cn
水稻生物学国家重点实验室,钱亚娟,0571-88206950,jszy2@zju.edu.cn
浙江大学半导体材料研究所,季振国,0571-87952124,silab@cmsce.zju.edu.cn
浙江大学高分子科学研究所,范志强,0571-87951342,fanzq@ipsm.zju.edu.cn
浙江大学化工机械研究所,童水光,0571-87951216,Cetongsg@zju.edu.cn
浙江大学化学工程研究所,何潮洪,0571-87951742,chhezju@cmsce.zju.edu.cn
浙江大学超大规模集成电路设计研究所,严晓浪,0571-87952706,
浙江大学航天电气及微特电机研究所,叶云岳,0571-87952706,
浙江大学人工智能研究所,林兰芬,0571-87952699,
浙江大学现代工业设计研究所,孙守迁,0571-87953695,
浙江大学无机非金属材料研究所,韩高荣,0571-87951407,mse-hgr@dial.zju.edu.cn
浙江大学制药工程研究所,任其龙,0571-7951224,renql@che.zju.edu.cn
浙江大学电厂热能动力及自动化研究所,盛德仁,0571-87951467,
浙江大学固体力学研究所,屠志强,0571-87951769,
浙江大学机械设计研究所,王庆九,0571-87951209,
浙江大学流体工程研究所,章本照,0571-87951275,
浙江大学制冷与低温研究所,陈光明,0571-87951275,
浙江大学高压大功率变流技术研究所,彭方正,0571-87952706,
浙江大学茶叶研究所,梁月荣,0571-86971610,
浙江大学果树与果品研究所,陈力耕,0571-86971390,
浙江大学生物技术研究所,陈卫良,0571-86971610,
浙江大学饲料科学研究所,许梓荣,0571-86091821,
浙江大学农业生态研究所,杨京平,0571-86971154,
浙江大学生物化学研究所,张耀洲,0571-86971414,
浙江大学微生物研究所,冯明光,0571-86971129,
浙江大学细胞工程研究所,邵健忠,0571-88273287,
浙江大学野生动物保护生物学研究所,丁平,0571-86971555,
浙江大学遗传学研究所,朱睦元,0571－88273325,
浙江大学植物科学研究所,吴平,0571-86971130,
浙江大学材料物理与微结构研究所,陈湘明,0571-87951410,xmchen@cmsce.zju.edu.cn
浙江大学高分子复合材料研究所,方征平,0571-87951295,ipczju@.zju.edu.cn
浙江大学高分子工程研究所,冯连芳,0571-87951612,fenglf@mail.hz.zj.cn
浙江大学电力电子技术研究所,何湘宁,0571-87952706,
浙江大学联合化学反应工程研究所,阳永荣,0571－87951227,yryang@mail.hz.zj.cn
浙江大学检测与智能仪器研究所,金隐霞,0571-87951086,
浙江大学金属材料研究所,孟亮,0571-87951532,mengliang@zju.edu.cn
浙江大学生物医学工程研究所,郑筱祥,0571-87951086,
浙江大学生物工程研究所,岑沛霖,0571-87951220,cenpl@cmsce.zju.edu.cn
浙江大学催化研究所,陆维敏,0571-88273283,cuihua@zju.edu.cn
浙江大学电子电路与信息系统研究所,陈偕雄,0571-88273279,jzshen@cise.zju.edu.cn
浙江大学半导体光电子技术与系统研究所,金仲和,0571-87951706,dingc@zju.edu.cn
浙江大学城市与区域发展研究所,欧阳安蛟,0571-87952825,ouy219@mail.hz.zj.cn
浙江大学信息与通信工程研究所,刘济林,0571-87952367,
浙江大学环境与生物地球化学研究所,翁焕新,0571-87951336,gswenghx@zju.edu.cn
浙江大学现代农业装备及自动化研究所,应义斌,0571- 86971554,
浙江大学应用地质研究所,杨树锋,0571－87951336,shenxh@css.zju.edu.cn
浙江大学气象信息与灾害预测研究所,谭季青,0571-87176957,tan_jiqing@126.com
浙江大学统计研究所,林正炎,0571-88273807,zlin@zju.edu.cn
浙江大学系统优化技术研究所,刘祥官,0571-87951429,lxg@math.zju.edu.cn
浙江大学科学与工程计算数学研究所,王兴华,0571- 87951609,
浙江大学光电显示技术研究所,顾培夫,0571-87951576,
浙江大学分析化学与应用化学研究所,林贤福,0571-87953001,LLC123@css.zju.edu.cn
浙江大学病理学和法医学研究所,来茂德,0571-87217135,zhouren@zju.edu.cn
浙江大学儿科研究所,赵正言,0571-87078641,shuqiang@zju.edu.cn
浙江大学妇产科学研究所,谢幸,0571-87030564,
浙江大学光及电磁波研究中心,何赛灵,0571-87953229,
浙江大学光电子技术研究所,陈军,0571-87951184,chenjun1@zju.edu.cn
浙江大学智能系统与决策研究所,吴铁军,0571-87951894,
浙江大学微电子技术与系统设计研究所,朱大中,0571-87951705,
浙江大学光学工程研究所,冯华君,0571-87951182,fenghj@zju.edu.cn
浙江大学呼吸疾病研究所,沈华浩,0571-87783729,
浙江大学药物制剂研究所,梁文权,0571-87217376,
浙江大学运筹与控制科学研究所,刘康生,0571-87951609-8308,ksliu@zju.edu.cn
浙江大学药物信息学研究所,程翼宇,0571-87952509,
浙江大学电子信息技术与系统研究所,章献民,0571-88206345,zhangxm@zju.edu.cn
浙江大学传染病研究所,陈智,0571-87236579,
浙江大学现代控制工程研究所,皮道映,0571-87951879,qlin@iipc.zju.edu.cn
浙江大学先进控制研究所,褚健,0571-87951200,
浙江大学心血管病研究所,胡申江,0571-87236569,
浙江大学邵逸夫临床医学研究所,姒健敏,,
浙江大学劳动卫生与环境卫生学研究所,姚耿东,0571-87217121,
浙江大学脑医学研究所,刘伟国,0571-87784783,
浙江大学肿瘤研究所,郑树,,
浙江大学医学营养学与食品卫生研究所,朱心强,0571-87217194,
浙江大学光电信息及检测技术研究所,章海军,0571－87953004,zhanghj@zju.edu.cn
浙江大学血液学研究所,金洁,0571-87236896,
浙江大学自动化仪表研究所,张宏建,0571-87951219,
浙江大学细胞生物学研究所,李继承,0571-87217304,
浙江大学外科研究所,蒋国平,0571-87236570,
